name,ie,min,max
Замена ремкомплекта суппорта,1,1250,2000
Замена ремкомплекта главного тормозного цилиндра,1,1500,3000
Замена тормозной жидкости,1,1200,
Замена вакуумного усилителя,1,1200,2500
Замена главного тормозного цилиндра,1,1500,2500
Замена тормозных колодок дисковых,1,600,1200
Замена тормозных колодок барабанных,1,1600,1800
Замена тормозного диска,1,300,2000
Прокачка тормозов,1,500,
Замена тормозного шланга,1,800,1000
Регулировка стояночного тормоза,1,800,1800
